#Time,pitch(deg),roll(deg),yaw(deg),X-Acceleration(g),Y-Acceleration(g),Z-Acceleration(g),Pressure(Millibars),Temperature(deg C),Humidity(%)
138.527,-6.694,2.349,-104.962,0.982,0.042,0.117,1031.172,33.259,41.289
138.564,-6.695,2.350,-104.971,0.985,0.041,0.115,1031.175,33.241,40.989
138.596,-6.694,2.350,-104.973,0.988,0.039,0.115,1031.178,33.241,40.989
138.631,-6.691,2.347,-104.980,0.986,0.040,0.118,1031.175,33.241,40.989
138.663,-6.692,2.347,-104.980,0.982,0.043,0.119,1031.171,33.241,40.989
138.698,-6.695,2.347,-104.977,0.983,0.042,0.116,1031.171,33.204,39.692
138.730,-6.696,2.349,-104.979,0.983,0.039,0.114,1031.177,33.204,39.692
138.765,-6.695,2.348,-104.993,0.987,0.039,0.115,1031.179,33.204,39.692
138.800,-6.693,2.344,-105.002,0.983,0.043,0.118,1031.180,33.204,39.692
138.833,-6.691,2.344,-105.008,0.985,0.042,0.117,1031.187,33.277,39.959
138.868,-6.693,2.348,-105.014,0.985,0.040,0.114,1031.186,33.277,39.959
138.899,-6.694,2.347,-105.016,0.984,0.038,0.115,1031.186,33.277,39.959
138.934,-6.695,2.344,-105.018,0.986,0.041,0.117,1031.181,33.277,39.959
138.971,-6.693,2.343,-105.021,0.983,0.041,0.117,1031.181,33.204,39.739
139.002,-6.693,2.343,-105.024,0.984,0.041,0.115,1031.181,33.204,39.739
139.038,-6.693,2.345,-105.031,0.987,0.039,0.115,1031.182,33.204,39.739
139.074,-6.689,2.343,-105.041,0.987,0.039,0.116,1031.180,33.078,41.398
139.105,-6.686,2.342,-105.050,0.983,0.042,0.118,1031.180,33.078,41.398
139.140,-6.689,2.340,-105.051,0.985,0.041,0.115,1031.181,33.078,41.398
139.175,-6.688,2.339,-105.055,0.986,0.040,0.115,1031.185,33.078,41.398
139.209,-6.688,2.335,-105.057,0.989,0.040,0.115,1031.188,33.186,40.459
139.240,-6.684,2.335,-105.058,0.988,0.042,0.118,1031.190,33.186,40.459
139.275,-6.680,2.336,-105.061,0.982,0.042,0.116,1031.191,33.186,40.459
139.310,-6.683,2.338,-105.064,0.985,0.041,0.114,1031.191,33.186,40.459
139.346,-6.683,2.340,-105.065,0.987,0.039,0.116,1031.190,33.150,39.407
139.378,-6.684,2.336,-105.067,0.985,0.042,0.117,1031.191,33.150,39.407
139.413,-6.684,2.333,-105.065,0.982,0.042,0.118,1031.192,33.150,39.407
139.445,-6.687,2.333,-105.055,0.984,0.041,0.116,1031.195,33.150,39.407
139.481,-6.688,2.336,-105.049,0.986,0.039,0.114,1031.196,33.204,39.659
139.512,-6.688,2.333,-105.046,0.986,0.040,0.117,1031.196,33.204,39.659
139.547,-6.688,2.332,-105.045,0.984,0.042,0.117,1031.198,33.204,39.659
139.582,-6.689,2.335,-105.036,0.985,0.041,0.116,1031.197,33.204,39.659
139.615,-6.691,2.334,-105.028,0.982,0.039,0.115,1031.193,33.186,40.211
139.651,-6.692,2.336,-105.022,0.987,0.039,0.115,1031.195,33.186,40.211
139.682,-6.689,2.337,-105.017,0.988,0.042,0.118,1031.197,33.186,40.211
139.717,-6.689,2.337,-105.012,0.983,0.042,0.116,1031.197,33.186,40.211
139.753,-6.690,2.338,-105.007,0.985,0.040,0.115,1031.199,33.204,39.484
139.784,-6.691,2.341,-105.005,0.983,0.039,0.116,1031.195,33.204,39.484
139.819,-6.691,2.339,-105.007,0.986,0.041,0.117,1031.193,33.204,39.484
139.855,-6.689,2.338,-105.011,0.984,0.041,0.118,1031.192,33.204,39.484
139.887,-6.688,2.333,-105.008,0.984,0.042,0.116,1031.192,33.204,42.458
139.923,-6.690,2.335,-105.001,0.986,0.038,0.114,1031.194,33.204,42.458
139.953,-6.693,2.331,-104.998,0.984,0.040,0.115,1031.194,33.204,42.458
139.989,-6.690,2.329,-105.001,0.988,0.042,0.117,1031.198,33.186,42.458
140.025,-6.690,2.331,-105.004,0.983,0.041,0.117,1031.197,33.186,40.868
140.056,-6.693,2.332,-104.997,0.981,0.040,0.115,1031.197,33.186,40.868
140.092,-6.695,2.335,-104.996,0.986,0.038,0.116,1031.197,33.186,40.868
140.128,-6.694,2.332,-105.001,0.986,0.040,0.117,1031.191,33.259,40.726
140.159,-6.692,2.330,-105.004,0.984,0.042,0.117,1031.191,33.259,40.726
140.194,-6.690,2.333,-105.005,0.983,0.041,0.115,1031.193,33.259,40.726
140.226,-6.692,2.333,-105.000,0.982,0.039,0.115,1031.194,33.259,40.726
140.262,-6.691,2.334,-104.998,0.988,0.040,0.115,1031.193,33.223,39.907
140.294,-6.689,2.332,-104.993,0.989,0.042,0.118,1031.195,33.223,39.907
140.330,-6.686,2.330,-104.985,0.983,0.041,0.118,1031.191,33.223,39.907
140.361,-6.688,2.330,-104.975,0.982,0.040,0.116,1031.191,33.223,39.907
140.397,-6.690,2.332,-104.969,0.984,0.039,0.114,1031.189,33.223,39.959
140.433,-6.688,2.331,-104.970,0.987,0.042,0.117,1031.190,33.223,39.959
140.465,-6.686,2.331,-104.968,0.988,0.041,0.118,1031.189,33.223,39.959
140.499,-6.686,2.330,-104.960,0.985,0.041,0.116,1031.185,33.223,39.959
140.536,-6.686,2.331,-104.952,0.988,0.040,0.115,1031.188,33.223,40.225
140.567,-6.685,2.333,-104.949,0.990,0.040,0.116,1031.188,33.223,40.225
140.602,-6.682,2.332,-104.954,0.987,0.040,0.118,1031.186,33.223,40.225
140.637,-6.686,2.329,-104.950,0.982,0.040,0.115,1031.184,33.223,40.225
140.670,-6.687,2.331,-104.947,0.986,0.039,0.112,1031.183,33.241,40.912
140.702,-6.688,2.334,-104.949,0.986,0.038,0.114,1031.186,33.241,40.912
140.737,-6.687,2.335,-104.952,0.985,0.041,0.118,1031.186,33.241,40.912
140.771,-6.688,2.333,-104.952,0.981,0.042,0.117,1031.186,33.241,40.912
140.808,-6.689,2.334,-104.951,0.983,0.041,0.117,1031.189,33.168,42.173
140.840,-6.690,2.339,-104.949,0.986,0.039,0.117,1031.184,33.168,42.173
140.875,-6.690,2.340,-104.952,0.987,0.040,0.116,1031.184,33.168,42.173
140.908,-6.689,2.338,-104.951,0.988,0.042,0.119,1031.188,33.241,39.400
140.943,-6.690,2.341,-104.948,0.982,0.042,0.117,1031.191,33.241,39.400
140.973,-6.693,2.342,-104.946,0.982,0.039,0.114,1031.191,33.241,39.400
141.008,-6.692,2.343,-104.945,0.985,0.039,0.116,1031.195,33.241,39.400
141.045,-6.689,2.341,-104.947,0.986,0.042,0.117,1031.193,33.150,38.278
141.077,-6.689,2.337,-104.942,0.987,0.042,0.116,1031.195,33.150,38.278
141.112,-6.690,2.340,-104.941,0.986,0.039,0.114,1031.196,33.150,38.278
141.147,-6.691,2.339,-104.941,0.988,0.039,0.113,1031.194,33.150,38.278
141.179,-6.688,2.338,-104.945,0.986,0.041,0.117,1031.194,33.277,40.306
141.214,-6.689,2.338,-104.949,0.984,0.041,0.117,1031.192,33.277,40.306
141.249,-6.688,2.336,-104.956,0.984,0.041,0.115,1031.196,33.277,40.306
141.281,-6.690,2.337,-104.960,0.985,0.039,0.113,1031.200,33.277,40.306
141.318,-6.691,2.338,-104.962,0.987,0.039,0.117,1031.201,33.223,40.200
141.350,-6.689,2.335,-104.962,0.983,0.042,0.118,1031.200,33.223,40.200
141.384,-6.690,2.331,-104.961,0.982,0.042,0.118,1031.200,33.223,40.200
141.419,-6.694,2.334,-104.952,0.986,0.041,0.115,1031.203,33.223,40.200
141.452,-6.695,2.335,-104.949,0.985,0.040,0.115,1031.207,33.259,40.171
141.487,-6.694,2.333,-104.948,0.985,0.041,0.117,1031.208,33.259,40.171
141.519,-6.694,2.333,-104.944,0.986,0.042,0.117,1031.207,33.259,40.171
141.554,-6.696,2.334,-104.937,0.983,0.040,0.115,1031.210,33.259,40.171
141.589,-6.698,2.334,-104.934,0.987,0.039,0.115,1031.210,33.313,38.077
141.621,-6.697,2.331,-104.942,0.986,0.038,0.116,1031.208,33.313,38.077
141.657,-6.695,2.327,-104.952,0.985,0.042,0.117,1031.212,33.313,38.077
141.689,-6.694,2.330,-104.958,0.983,0.042,0.116,1031.214,33.223,38.077
141.725,-6.691,2.333,-104.961,0.987,0.038,0.114,1031.214,33.223,40.145
141.757,-6.689,2.335,-104.963,0.984,0.040,0.115,1031.214,33.223,40.145
141.791,-6.687,2.335,-104.963,0.984,0.041,0.119,1031.214,33.223,40.145
141.827,-6.687,2.333,-104.966,0.981,0.042,0.117,1031.217,33.204,40.262
141.859,-6.691,2.336,-104.967,0.983,0.041,0.116,1031.216,33.204,40.262
141.894,-6.693,2.341,-104.965,0.987,0.041,0.114,1031.219,33.204,40.262
141.926,-6.691,2.343,-104.972,0.986,0.039,0.116,1031.219,33.204,40.262
141.963,-6.687,2.339,-104.978,0.983,0.042,0.118,1031.224,33.223,40.675
141.992,-6.688,2.338,-104.977,0.984,0.042,0.116,1031.224,33.223,40.675
142.025,-6.687,2.339,-104.977,0.983,0.040,0.117,1031.217,33.223,40.675
142.057,-6.690,2.340,-104.974,0.984,0.039,0.115,1031.214,33.223,40.675
142.090,-6.694,2.342,-104.971,0.988,0.039,0.115,1031.213,33.168,39.973
142.122,-6.694,2.342,-104.975,0.987,0.041,0.117,1031.217,33.168,39.973
142.156,-6.694,2.341,-104.979,0.983,0.042,0.119,1031.217,33.168,39.973
142.191,-6.696,2.341,-104.978,0.984,0.042,0.115,1031.217,33.168,39.973
142.228,-6.695,2.345,-104.980,0.987,0.040,0.114,1031.214,33.204,40.258
142.259,-6.691,2.343,-104.987,0.989,0.040,0.115,1031.211,33.204,40.258
142.295,-6.688,2.341,-104.992,0.985,0.043,0.117,1031.211,33.204,40.258
142.327,-6.687,2.346,-104.995,0.985,0.040,0.115,1031.210,33.204,40.258
142.362,-6.689,2.345,-104.994,0.985,0.039,0.114,1031.210,33.295,40.459
142.397,-6.689,2.345,-104.993,0.986,0.039,0.116,1031.213,33.295,40.459
142.429,-6.687,2.341,-104.990,0.985,0.041,0.117,1031.215,33.295,40.459
142.465,-6.685,2.339,-104.988,0.981,0.043,0.117,1031.214,33.295,40.459
142.497,-6.683,2.343,-105.000,0.982,0.041,0.117,1031.216,33.259,38.976
142.532,-6.684,2.349,-105.005,0.987,0.039,0.115,1031.211,33.259,38.976
142.563,-6.683,2.348,-105.000,0.985,0.041,0.116,1031.211,33.259,38.976
142.598,-6.682,2.346,-104.994,0.986,0.042,0.118,1031.210,33.259,38.976
142.635,-6.684,2.343,-104.984,0.983,0.042,0.116,1031.213,33.186,41.048
142.667,-6.689,2.347,-104.972,0.984,0.040,0.114,1031.212,33.186,41.048
142.702,-6.689,2.347,-104.967,0.987,0.039,0.116,1031.211,33.186,41.048
142.734,-6.689,2.347,-104.964,0.987,0.042,0.118,1031.207,33.186,41.048
142.769,-6.690,2.346,-104.959,0.981,0.042,0.116,1031.207,33.114,37.269
142.804,-6.690,2.347,-104.960,0.984,0.040,0.114,1031.205,33.114,37.269
142.836,-6.691,2.349,-104.965,0.984,0.039,0.114,1031.209,33.114,37.269
142.872,-6.690,2.349,-104.962,0.985,0.041,0.117,1031.209,33.114,40.598
142.904,-6.686,2.346,-104.961,0.986,0.042,0.118,1031.208,33.114,40.598
142.939,-6.688,2.347,-104.956,0.983,0.042,0.116,1031.209,33.114,40.598
142.973,-6.686,2.350,-104.957,0.986,0.039,0.114,1031.209,33.114,40.598
143.010,-6.688,2.351,-104.957,0.988,0.039,0.116,1031.207,33.295,40.894
143.042,-6.686,2.348,-104.965,0.986,0.042,0.118,1031.210,33.295,40.894
143.077,-6.685,2.346,-104.970,0.982,0.042,0.117,1031.209,33.295,40.894
143.109,-6.688,2.346,-104.971,0.984,0.040,0.114,1031.211,33.295,40.894
143.145,-6.688,2.349,-104.969,0.990,0.039,0.115,1031.211,33.186,41.899
143.176,-6.685,2.346,-104.967,0.986,0.042,0.118,1031.211,33.186,41.899
143.211,-6.685,2.344,-104.962,0.982,0.041,0.118,1031.210,33.186,41.899
143.247,-6.688,2.345,-104.956,0.985,0.042,0.114,1031.213,33.186,41.899
143.280,-6.688,2.347,-104.951,0.983,0.038,0.114,1031.210,33.186,40.675
143.315,-6.685,2.346,-104.949,0.986,0.041,0.117,1031.211,33.186,40.675
143.346,-6.685,2.344,-104.948,0.986,0.042,0.119,1031.211,33.186,40.675
143.380,-6.688,2.345,-104.947,0.982,0.042,0.118,1031.211,33.186,40.675
143.417,-6.689,2.347,-104.946,0.986,0.040,0.114,1031.214,33.241,40.938
143.448,-6.690,2.349,-104.945,0.983,0.041,0.115,1031.213,33.241,40.938
143.483,-6.689,2.350,-104.948,0.986,0.042,0.118,1031.212,33.241,40.938
143.519,-6.687,2.351,-104.953,0.984,0.042,0.118,1031.214,33.241,40.938
143.552,-6.686,2.351,-104.961,0.985,0.041,0.115,1031.209,33.223,40.094
143.586,-6.686,2.351,-104.966,0.988,0.039,0.114,1031.209,33.223,40.094
143.621,-6.684,2.350,-104.968,0.987,0.040,0.117,1031.209,33.223,40.094
143.654,-6.682,2.345,-104.968,0.985,0.041,0.118,1031.214,33.223,41.994
143.689,-6.683,2.346,-104.964,0.982,0.042,0.117,1031.211,33.223,41.994
143.721,-6.686,2.352,-104.960,0.986,0.040,0.115,1031.210,33.223,41.994
143.757,-6.689,2.353,-104.961,0.986,0.040,0.114,1031.212,33.223,41.994
143.788,-6.688,2.353,-104.963,0.987,0.041,0.117,1031.212,33.204,40.160
143.823,-6.689,2.350,-104.962,0.983,0.042,0.118,1031.211,33.204,40.160
143.859,-6.690,2.349,-104.947,0.984,0.040,0.114,1031.216,33.204,40.160
143.890,-6.690,2.347,-104.938,0.983,0.039,0.114,1031.211,33.204,40.160
143.927,-6.694,2.347,-104.929,0.990,0.039,0.116,1031.208,33.223,39.853
143.958,-6.693,2.342,-104.926,0.989,0.042,0.118,1031.208,33.223,39.853
143.992,-6.691,2.341,-104.923,0.982,0.042,0.115,1031.208,33.223,39.853
144.028,-6.690,2.344,-104.926,0.987,0.040,0.114,1031.210,33.223,39.853
144.064,-6.690,2.343,-104.929,0.988,0.039,0.115,1031.212,33.277,39.948
144.095,-6.690,2.338,-104.935,0.987,0.042,0.118,1031.213,33.277,39.948
144.131,-6.689,2.339,-104.934,0.984,0.042,0.117,1031.212,33.277,39.948
144.163,-6.689,2.339,-104.936,0.985,0.042,0.116,1031.212,33.277,39.948
144.198,-6.692,2.339,-104.933,0.989,0.038,0.114,1031.212,33.168,40.803
144.233,-6.690,2.339,-104.937,0.988,0.041,0.117,1031.213,33.168,40.803
144.265,-6.688,2.339,-104.939,0.985,0.042,0.117,1031.213,33.168,40.803
144.301,-6.688,2.339,-104.940,0.983,0.042,0.115,1031.214,33.168,40.803
144.333,-6.689,2.340,-104.940,0.983,0.039,0.114,1031.209,33.168,40.280
144.369,-6.689,2.341,-104.941,0.988,0.039,0.116,1031.207,33.168,40.280
144.399,-6.687,2.341,-104.948,0.990,0.040,0.118,1031.207,33.168,40.280
144.435,-6.689,2.340,-104.951,0.989,0.043,0.117,1031.204,33.168,40.280
144.471,-6.689,2.339,-104.946,0.984,0.041,0.114,1031.204,33.204,40.174
144.503,-6.691,2.343,-104.938,0.984,0.040,0.115,1031.202,33.204,40.174
144.538,-6.690,2.347,-104.932,0.986,0.040,0.117,1031.200,33.204,40.174
144.575,-6.692,2.341,-104.928,0.984,0.042,0.118,1031.202,33.259,39.860
144.607,-6.693,2.341,-104.930,0.982,0.042,0.116,1031.206,33.259,39.860
144.637,-6.693,2.345,-104.932,0.983,0.040,0.115,1031.206,33.259,39.860
144.672,-6.691,2.344,-104.931,0.984,0.039,0.115,1031.206,33.259,39.860
144.709,-6.690,2.344,-104.935,0.986,0.042,0.117,1031.205,33.277,38.914
144.740,-6.690,2.344,-104.942,0.988,0.044,0.118,1031.208,33.277,38.914
144.776,-6.691,2.345,-104.944,0.985,0.041,0.116,1031.210,33.277,38.914
144.811,-6.694,2.347,-104.945,0.990,0.038,0.114,1031.207,33.277,38.914
144.843,-6.695,2.346,-104.942,0.986,0.040,0.114,1031.207,33.241,39.009
144.878,-6.690,2.340,-104.947,0.984,0.042,0.117,1031.209,33.241,39.009
144.910,-6.690,2.342,-104.948,0.985,0.042,0.116,1031.206,33.241,39.009
144.945,-6.692,2.344,-104.953,0.986,0.040,0.112,1031.203,33.241,39.009
144.982,-6.691,2.344,-104.954,0.987,0.038,0.115,1031.202,33.277,39.878
145.013,-6.689,2.341,-104.960,0.984,0.042,0.117,1031.201,33.277,39.878
145.048,-6.689,2.342,-104.970,0.983,0.043,0.118,1031.201,33.277,39.878
145.083,-6.692,2.342,-104.967,0.984,0.041,0.116,1031.196,33.277,39.878
145.115,-6.692,2.344,-104.964,0.984,0.039,0.113,1031.198,33.368,40.017
145.151,-6.689,2.344,-104.963,0.987,0.041,0.118,1031.197,33.368,40.017
145.183,-6.689,2.345,-104.963,0.988,0.042,0.118,1031.198,33.368,40.017
145.218,-6.689,2.344,-104.961,0.982,0.042,0.117,1031.199,33.368,40.017
145.253,-6.688,2.344,-104.959,0.986,0.040,0.114,1031.199,33.259,40.825
145.285,-6.690,2.345,-104.963,0.985,0.040,0.115,1031.198,33.259,40.825
145.320,-6.691,2.342,-104.971,0.987,0.041,0.117,1031.195,33.259,40.825
145.357,-6.692,2.338,-104.975,0.983,0.043,0.117,1031.194,33.241,38.168
145.388,-6.691,2.340,-104.973,0.986,0.041,0.116,1031.193,33.241,38.168
145.424,-6.693,2.342,-104.971,0.987,0.037,0.114,1031.189,33.241,38.168
145.454,-6.691,2.338,-104.975,0.988,0.042,0.116,1031.189,33.241,38.168
145.490,-6.690,2.338,-104.977,0.988,0.042,0.118,1031.186,33.204,40.386
145.526,-6.691,2.337,-104.975,0.984,0.041,0.115,1031.187,33.204,40.386
145.557,-6.693,2.339,-104.970,0.986,0.040,0.112,1031.188,33.204,40.386
145.593,-6.691,2.338,-104.975,0.989,0.038,0.115,1031.187,33.204,40.386
145.626,-6.690,2.336,-104.980,0.988,0.042,0.118,1031.191,33.204,41.435
145.660,-6.690,2.336,-104.982,0.983,0.042,0.118,1031.191,33.204,41.435
145.695,-6.691,2.337,-104.979,0.985,0.040,0.115,1031.195,33.204,41.435
145.727,-6.692,2.338,-104.990,0.984,0.039,0.115,1031.198,33.204,41.435
145.764,-6.693,2.337,-104.992,0.986,0.039,0.116,1031.196,33.223,40.017
145.795,-6.691,2.334,-104.987,0.983,0.043,0.118,1031.194,33.223,40.017
145.831,-6.693,2.334,-104.985,0.985,0.042,0.117,1031.195,33.223,40.017
145.861,-6.697,2.335,-104.980,0.984,0.039,0.114,1031.195,33.223,40.017
145.898,-6.698,2.336,-104.982,0.985,0.041,0.114,1031.193,33.259,40.518
145.933,-6.696,2.338,-104.990,0.985,0.042,0.119,1031.196,33.259,40.518
145.965,-6.696,2.340,-104.995,0.987,0.043,0.117,1031.199,33.259,40.518
146.000,-6.696,2.342,-104.996,0.983,0.040,0.116,1031.200,33.259,40.518
146.036,-6.698,2.341,-104.994,0.988,0.038,0.114,1031.198,33.223,40.741
146.067,-6.698,2.336,-104.991,0.990,0.041,0.117,1031.198,33.223,40.741
146.102,-6.697,2.334,-104.987,0.984,0.042,0.117,1031.198,33.223,40.741
146.138,-6.699,2.333,-104.984,0.981,0.042,0.116,1031.201,33.223,40.741
146.170,-6.701,2.339,-104.982,0.986,0.040,0.114,1031.198,33.223,39.991
146.205,-6.700,2.339,-104.987,0.988,0.039,0.115,1031.199,33.223,39.991
146.237,-6.698,2.336,-104.993,0.987,0.042,0.117,1031.197,33.223,39.991
146.272,-6.695,2.335,-104.999,0.982,0.042,0.117,1031.197,33.186,38.643
146.307,-6.696,2.335,-104.997,0.985,0.041,0.116,1031.200,33.186,38.643
146.339,-6.698,2.337,-104.992,0.983,0.039,0.116,1031.199,33.186,38.643
146.374,-6.700,2.337,-104.988,0.986,0.041,0.117,1031.205,33.186,38.643
146.411,-6.698,2.336,-104.987,0.983,0.044,0.119,1031.206,33.150,41.438
146.443,-6.696,2.337,-104.984,0.985,0.041,0.114,1031.203,33.150,41.438
146.473,-6.693,2.336,-104.981,0.982,0.038,0.116,1031.203,33.150,41.438
146.512,-6.698,2.336,-104.974,0.988,0.039,0.117,1031.200,33.150,41.438
146.545,-6.694,2.335,-104.973,0.984,0.042,0.118,1031.203,33.096,39.648
146.576,-6.692,2.336,-104.972,0.987,0.043,0.118,1031.207,33.096,39.648
146.612,-6.695,2.339,-104.969,0.986,0.039,0.115,1031.205,33.096,39.648
146.647,-6.693,2.340,-104.970,0.987,0.038,0.114,1031.208,33.096,39.648
146.679,-6.690,2.338,-104.983,0.986,0.041,0.116,1031.208,33.204,40.795
146.714,-6.689,2.339,-104.990,0.981,0.041,0.118,1031.208,33.204,40.795
146.749,-6.690,2.340,-104.994,0.982,0.042,0.115,1031.209,33.204,40.795
146.781,-6.690,2.342,-104.994,0.981,0.038,0.114,1031.214,33.204,40.795
146.817,-6.694,2.342,-104.993,0.989,0.040,0.115,1031.208,33.204,40.540
146.849,-6.691,2.340,-104.990,0.989,0.042,0.119,1031.206,33.204,40.540
146.883,-6.691,2.342,-104.981,0.981,0.042,0.117,1031.206,33.204,40.540
146.918,-6.696,2.343,-104.975,0.985,0.041,0.114,1031.207,33.204,40.540
146.955,-6.694,2.346,-104.975,0.988,0.039,0.115,1031.203,33.168,41.533
146.986,-6.695,2.343,-104.976,0.986,0.041,0.116,1031.203,33.168,41.533
147.021,-6.692,2.340,-104.979,0.985,0.043,0.118,1031.202,33.168,41.533
147.053,-6.694,2.339,-104.979,0.985,0.042,0.116,1031.207,33.168,41.533
147.088,-6.693,2.343,-104.985,0.987,0.038,0.114,1031.207,33.186,40.276
147.124,-6.692,2.346,-104.989,0.988,0.040,0.116,1031.211,33.186,40.276
147.155,-6.691,2.347,-104.992,0.987,0.041,0.118,1031.211,33.186,40.276
147.189,-6.690,2.345,-104.993,0.985,0.043,0.117,1031.209,33.295,39.794
147.224,-6.690,2.350,-104.989,0.984,0.040,0.114,1031.206,33.295,39.794
147.260,-6.690,2.350,-104.990,0.988,0.039,0.113,1031.205,33.295,39.794
147.290,-6.689,2.347,-104.989,0.987,0.040,0.118,1031.205,33.295,39.794
147.327,-6.686,2.345,-104.990,0.984,0.042,0.117,1031.200,33.223,41.263
147.362,-6.687,2.348,-104.985,0.984,0.041,0.116,1031.198,33.223,41.263
147.394,-6.689,2.347,-104.982,0.987,0.039,0.115,1031.198,33.223,41.263
147.429,-6.690,2.347,-104.981,0.987,0.039,0.115,1031.200,33.223,41.263
147.462,-6.689,2.344,-104.983,0.987,0.042,0.119,1031.202,33.313,40.810
147.497,-6.691,2.344,-104.983,0.982,0.042,0.117,1031.202,33.313,40.810
147.528,-6.693,2.345,-104.982,0.984,0.039,0.115,1031.202,33.313,40.810
147.563,-6.695,2.347,-104.978,0.984,0.039,0.115,1031.207,33.313,40.810
147.600,-6.693,2.346,-104.975,0.984,0.042,0.117,1031.205,33.168,40.178
147.631,-6.694,2.344,-104.974,0.987,0.042,0.117,1031.207,33.168,40.178
147.667,-6.695,2.344,-104.974,0.983,0.040,0.116,1031.206,33.168,40.178
147.697,-6.697,2.345,-104.977,0.983,0.039,0.114,1031.206,33.168,40.178
147.733,-6.698,2.346,-104.980,0.986,0.041,0.116,1031.208,33.313,39.462
147.769,-6.694,2.350,-104.988,0.985,0.043,0.117,1031.210,33.313,39.462
147.801,-6.692,2.352,-104.997,0.985,0.041,0.116,1031.216,33.313,39.462
147.836,-6.691,2.353,-105.000,0.986,0.039,0.115,1031.213,33.313,39.462
147.872,-6.693,2.355,-105.002,0.989,0.039,0.114,1031.212,33.204,41.058
147.904,-6.691,2.354,-105.001,0.986,0.042,0.117,1031.216,33.204,41.058
147.938,-6.690,2.352,-104.999,0.981,0.043,0.117,1031.216,33.204,41.058
147.975,-6.689,2.353,-104.996,0.983,0.041,0.113,1031.216,33.241,40.529
148.006,-6.689,2.354,-104.995,0.988,0.039,0.115,1031.220,33.241,40.529
148.041,-6.690,2.352,-104.991,0.986,0.041,0.117,1031.222,33.241,40.529
148.073,-6.687,2.350,-104.990,0.987,0.042,0.119,1031.222,33.241,40.529
148.109,-6.687,2.350,-104.990,0.984,0.042,0.118,1031.225,33.277,40.430
148.140,-6.690,2.353,-104.986,0.984,0.041,0.113,1031.225,33.277,40.430
148.175,-6.688,2.356,-104.987,0.984,0.040,0.116,1031.227,33.277,40.430
148.212,-6.687,2.357,-104.983,0.986,0.042,0.117,1031.228,33.277,40.430
148.244,-6.686,2.356,-104.978,0.986,0.042,0.118,1031.232,33.150,39.655
148.280,-6.685,2.359,-104.967,0.984,0.040,0.116,1031.233,33.150,39.655
148.312,-6.687,2.359,-104.957,0.988,0.039,0.113,1031.234,33.150,39.655
148.346,-6.684,2.359,-104.952,0.985,0.040,0.117,1031.234,33.150,39.655
148.383,-6.685,2.358,-104.947,0.983,0.042,0.118,1031.233,33.223,40.185
148.414,-6.683,2.360,-104.941,0.981,0.042,0.116,1031.229,33.223,40.185
148.450,-6.687,2.360,-104.934,0.985,0.041,0.114,1031.233,33.223,40.185
148.481,-6.688,2.360,-104.932,0.986,0.039,0.114,1031.239,33.223,40.185
148.518,-6.685,2.358,-104.937,0.985,0.040,0.117,1031.237,33.150,40.119
148.548,-6.683,2.356,-104.940,0.987,0.043,0.118,1031.237,33.150,40.119
148.583,-6.685,2.358,-104.938,0.984,0.040,0.115,1031.236,33.150,40.119
148.619,-6.686,2.360,-104.932,0.987,0.040,0.114,1031.241,33.150,40.119
148.655,-6.685,2.363,-104.930,0.987,0.040,0.116,1031.244,33.223,41.307
148.687,-6.683,2.363,-104.930,0.984,0.041,0.117,1031.244,33.223,41.307
148.719,-6.682,2.360,-104.935,0.985,0.042,0.116,1031.240,33.223,41.307
148.753,-6.684,2.360,-104.942,0.986,0.039,0.114,1031.240,33.223,41.307
148.789,-6.680,2.362,-104.952,0.988,0.039,0.114,1031.238,33.241,39.480
148.821,-6.679,2.360,-104.964,0.989,0.041,0.118,1031.239,33.241,39.480
148.856,-6.679,2.359,-104.973,0.983,0.042,0.117,1031.240,33.241,39.480
148.893,-6.680,2.359,-104.980,0.985,0.040,0.115,1031.241,33.150,39.904
148.924,-6.683,2.355,-104.984,0.987,0.039,0.114,1031.240,33.150,39.904
148.958,-6.684,2.356,-104.991,0.988,0.041,0.116,1031.240,33.150,39.904
148.993,-6.681,2.356,-104.999,0.983,0.043,0.118,1031.241,33.150,39.904
149.026,-6.683,2.356,-105.003,0.986,0.042,0.116,1031.238,33.223,40.569
149.061,-6.685,2.356,-105.001,0.985,0.040,0.115,1031.237,33.223,40.569
149.093,-6.683,2.354,-105.000,0.988,0.041,0.116,1031.242,33.223,40.569
149.129,-6.681,2.355,-105.001,0.985,0.041,0.118,1031.241,33.223,40.569
149.164,-6.679,2.354,-105.002,0.983,0.043,0.117,1031.241,33.259,39.790
149.196,-6.683,2.357,-105.000,0.985,0.039,0.115,1031.236,33.259,39.790
149.231,-6.684,2.359,-105.003,0.987,0.038,0.115,1031.237,33.259,39.790
149.263,-6.682,2.354,-105.007,0.987,0.041,0.117,1031.235,33.259,39.790
149.299,-6.680,2.351,-105.008,0.983,0.042,0.118,1031.232,33.259,40.817
149.331,-6.681,2.350,-105.007,0.985,0.041,0.115,1031.229,33.259,40.817
149.365,-6.681,2.350,-105.004,0.987,0.040,0.114,1031.229,33.259,40.817
149.400,-6.684,2.352,-104.997,0.989,0.040,0.115,1031.227,33.259,40.817
149.437,-6.683,2.350,-104.994,0.985,0.041,0.118,1031.225,33.277,40.777
149.469,-6.682,2.351,-104.992,0.984,0.042,0.117,1031.228,33.277,40.777
